Uniprot_AC,AFDB_Status,AFDB_pLDDT
A0A7C0U8Z8,Found (pLDDT missing),
A0A7C0U8M4,Found (pLDDT missing),
A0A497Q058,Found (pLDDT missing),
A0A497PIZ2,Found (pLDDT missing),
A0A7C0YA92,Found (pLDDT missing),
A0A497PGA2,Found (pLDDT missing),
A0A7C0U8H6,Found (pLDDT missing),
A0A497PHG0,Found (pLDDT missing),
A0A497QGN8,Found (pLDDT missing),
A0A7C0U912,Found (pLDDT missing),
A0A7C0U8H8,Found (pLDDT missing),
A0A7C0U9B6,Found (pLDDT missing),
A0A7C0Y8Y6,Found (pLDDT missing),
A0A497QA00,Found (pLDDT missing),
A0A497QBJ6,Found (pLDDT missing),
A0A497QC93,Found (pLDDT missing),
A0A7C0YDL5,Found (pLDDT missing),
A0A7C0YFW6,Found (pLDDT missing),
A0A7C0U906,Found (pLDDT missing),
A0A497QIR0,Found (pLDDT missing),
A0A7C0U960,Found (pLDDT missing),
A0A7C0U8N0,Found (pLDDT missing),
A0A7C0YAA3,Found (pLDDT missing),
A0A7C0YB32,Found (pLDDT missing),
A0A7C0U8I9,Found (pLDDT missing),
A0A497PB87,Found (pLDDT missing),
A0A7C0YAN5,Found (pLDDT missing),
A0A7C0U921,Found (pLDDT missing),
A0A497P9F4,Found (pLDDT missing),
A0A7C0U8I6,Found (pLDDT missing),
A0A7C0U9C7,Found (pLDDT missing),
A0A7C0Y8Z7,Found (pLDDT missing),
A0A497PCU6,Found (pLDDT missing),
A0A7C0YBI6,Found (pLDDT missing),
A0A7C0YDM5,Found (pLDDT missing),
A0A497QBJ1,Found (pLDDT missing),
A0A7C0YFZ5,Found (pLDDT missing),
A0A7C0U8P6,Found (pLDDT missing),
A0A497PB09,Found (pLDDT missing),
A0A7C0U8N9,Found (pLDDT missing),
A0A7C0YAB1,Found (pLDDT missing),
A0A7C0YB44,Found (pLDDT missing),
A0A497PER5,Found (pLDDT missing),
A0A7C0U8N1,Found (pLDDT missing),
A0A7C0U932,Found (pLDDT missing),
A0A7C0U8Y3,Found (pLDDT missing),
A0A497PBX4,Found (pLDDT missing),
A0A7C0U9E0,Found (pLDDT missing),
A0A7C0Y908,Found (pLDDT missing),
A0A497Q6B5,Found (pLDDT missing),
A0A497Q411,Found (pLDDT missing),
A0A497P9J3,Found (pLDDT missing),
A0A497P8V0,Found (pLDDT missing),
A0A497P839,Found (pLDDT missing),
A0A7C0U926,Found (pLDDT missing),
A0A7C0U8Q4,Found (pLDDT missing),
A0A7C0U978,Found (pLDDT missing),
A0A497PDC3,Found (pLDDT missing),
A0A497PC06,Found (pLDDT missing),
A0A497PCA4,Found (pLDDT missing),
A0A7C0U8P1,Found (pLDDT missing),
A0A497QFG0,Found (pLDDT missing),
A0A497QDK6,Found (pLDDT missing),
A0A497PDE6,Found (pLDDT missing),
A0A7C0U8K6,Found (pLDDT missing),
A0A7C0U9F1,Found (pLDDT missing),
A0A7C0Y918,Found (pLDDT missing),
A0A497Q1R5,Found (pLDDT missing),
A0A7C0YBK5,Found (pLDDT missing),
A0A7C0YBL7,Found (pLDDT missing),
A0A7C0YDP4,Found (pLDDT missing),
A0A7C0YFZ1,Found (pLDDT missing),
A0A7C0YG10,Found (pLDDT missing),
A0A7C0U937,Found (pLDDT missing),
A0A7C0U8R1,Found (pLDDT missing),
A0A7C0U990,Found (pLDDT missing),
A0A7C0U8Q8,Found (pLDDT missing),
A0A7C0YAD1,Found (pLDDT missing),
A0A7C0YB71,Found (pLDDT missing),
A0A7C0U8M5,Found (pLDDT missing),
A0A497PCL9,Found (pLDDT missing),
A0A7C0YAR9,Found (pLDDT missing),
A0A497PK36,Found (pLDDT missing),
A0A7C0U905,Found (pLDDT missing),
A0A7C0U8L6,Found (pLDDT missing),
A0A7C0U9F6,Found (pLDDT missing),
A0A497P8P4,Found (pLDDT missing),
A0A497P9R1,Found (pLDDT missing),
A0A7C0YBL6,Found (pLDDT missing),
A0A7C0YBM8,Found (pLDDT missing),
A0A7C0YDQ5,Found (pLDDT missing),
A0A7C0YG03,Found (pLDDT missing),
A0A7C0YG24,Found (pLDDT missing),
A0A7C0U943,Found (pLDDT missing),
A0A7C0U8S2,Found (pLDDT missing),
A0A7C0U999,Found (pLDDT missing),
A0A7C0U8R7,Found (pLDDT missing),
A0A7C0YAD4,Found (pLDDT missing),
A0A497Q6Y7,Found (pLDDT missing),
A0A7C0U8N6,Found (pLDDT missing),
A0A497QC81,Found (pLDDT missing),
A0A7C0U955,Found (pLDDT missing),
A0A497Q9Z0,Found (pLDDT missing),
A0A7C0U8M2,Found (pLDDT missing),
A0A497PCY0,Found (pLDDT missing),
A0A7C0Y937,Found (pLDDT missing),
A0A497PFY6,Found (pLDDT missing),
A0A497QH35,Found (pLDDT missing),
A0A497QBZ5,Found (pLDDT missing),
A0A7C0YDR7,Found (pLDDT missing),
A0A7C0YG13,Found (pLDDT missing),
A0A7C0U958,Found (pLDDT missing),
A0A7C0U9A7,Found (pLDDT missing),
A0A7C0U8S5,Found (pLDDT missing),
A0A7C0YAE3,Found (pLDDT missing),
A0A7C0YB88,Found (pLDDT missing),
A0A7C0U8P2,Found (pLDDT missing),
A0A7C0U8R6,Found (pLDDT missing),
A0A497QDT4,Found (pLDDT missing),
A0A7C0U924,Found (pLDDT missing),
A0A7C0U8N4,Found (pLDDT missing),
A0A7C0U9I0,Found (pLDDT missing),
A0A7C0Y946,Found (pLDDT missing),
A0A7C0Y848,Found (pLDDT missing),
A0A7C0YBP4,Found (pLDDT missing),
A0A7C0YBQ1,Found (pLDDT missing),
A0A497Q8G4,Found (pLDDT missing),
A0A7C0YG21,Found (pLDDT missing),
A0A7C0YG44,Found (pLDDT missing),
A0A497QH86,Found (pLDDT missing),
A0A497QJG9,Found (pLDDT missing),
A0A497QE17,Found (pLDDT missing),
A0A7C0U8T5,Found (pLDDT missing),
A0A7C0YBA1,Found (pLDDT missing),
A0A7C0U8Q5,Found (pLDDT missing),
A0A497PF34,Found (pLDDT missing),
A0A497QAN3,Found (pLDDT missing),
A0A7C0U977,Found (pLDDT missing),
A0A7C0U934,Found (pLDDT missing),
A0A7C0U8P3,Found (pLDDT missing),
A0A7C0U9J2,Found (pLDDT missing),
A0A7C0Y952,Found (pLDDT missing),
A0A7C0Y856,Found (pLDDT missing),
A0A7C0YBQ5,Found (pLDDT missing),
A0A7C0YBQ9,Found (pLDDT missing),
A0A7C0YDT9,Found (pLDDT missing),
A0A497PB17,Found (pLDDT missing),
A0A7C0U980,Found (pLDDT missing),
A0A497PG06,Found (pLDDT missing),
A0A497PFK1,Found (pLDDT missing),
A0A497PIU1,Found (pLDDT missing),
A0A7C0YAH0,Found (pLDDT missing),
A0A497PHR7,Found (pLDDT missing),
A0A497QC99,Found (pLDDT missing),
A0A497PIP2,Found (pLDDT missing),
A0A497PJM7,Found (pLDDT missing),
A0A7C0U982,Found (pLDDT missing),
A0A497QFW6,Found (pLDDT missing),
A0A7C0U8Q6,Found (pLDDT missing),
A0A7C0U9K2,Found (pLDDT missing),
A0A7C0Y960,Found (pLDDT missing),
A0A497PCJ9,Found (pLDDT missing),
A0A7C0YBR6,Found (pLDDT missing),
A0A7C0YBR9,Found (pLDDT missing),
A0A7C0YG43,Found (pLDDT missing),
A0A7C0YG63,Found (pLDDT missing),
A0A497QID3,Found (pLDDT missing),
A0A497QCE5,Found (pLDDT missing),
A0A7C0U8V8,Found (pLDDT missing),
A0A7C0YAH8,Found (pLDDT missing),
A0A7C0YBC1,Found (pLDDT missing),
A0A7C0U8R8,Found (pLDDT missing),
A0A7C0U8U6,Found (pLDDT missing),
A0A7C0YAX7,Found (pLDDT missing),
A0A497PQ07,Found (pLDDT missing),
A0A7C0U951,Found (pLDDT missing),
A0A7C0U8R3,Found (pLDDT missing),
A0A7C0U9L4,Found (pLDDT missing),
A0A7C0Y974,Found (pLDDT missing),
A0A7C0Y876,Found (pLDDT missing),
A0A7C0YBS7,Found (pLDDT missing),
A0A7C0YBS8,Found (pLDDT missing),
A0A7C0YDV5,Found (pLDDT missing),
A0A497PGD6,Found (pLDDT missing),
A0A497QB58,Found (pLDDT missing),
A0A7C0U8X2,Found (pLDDT missing),
A0A7C0U8X0,Found (pLDDT missing),
A0A497QDG8,Found (pLDDT missing),
A0A7C0YBD1,Found (pLDDT missing),
A0A497PCR3,Found (pLDDT missing),
A0A497PBE7,Found (pLDDT missing),
A0A497PAV2,Found (pLDDT missing),
A0A497QI04,Found (pLDDT missing),
A0A7C0U9M4,Found (pLDDT missing),
A0A7C0Y987,Found (pLDDT missing),
A0A497QHM6,Found (pLDDT missing),
A0A497QH32,Found (pLDDT missing),
A0A497QAT4,Found (pLDDT missing),
A0A7C0YDW4,Found (pLDDT missing),
A0A7C0YG60,Found (pLDDT missing),
A0A7C0YG79,Found (pLDDT missing),
A0A497QDK5,Found (pLDDT missing),
A0A7C0U8Y2,Found (pLDDT missing),
A0A7C0U9G3,Found (pLDDT missing),
A0A7C0U8Y0,Found (pLDDT missing),
A0A7C0YAI8,Found (pLDDT missing),
A0A7C0YBE1,Found (pLDDT missing),
A0A7C0U8T8,Found (pLDDT missing),
A0A497PAP5,Found (pLDDT missing),
A0A7C0YAZ4,Found (pLDDT missing),
A0A497PG00,Found (pLDDT missing),
A0A497PIG8,Found (pLDDT missing),
A0A7C0U8T2,Found (pLDDT missing),
A0A7C0U9N2,Found (pLDDT missing),
A0A7C0Y993,Found (pLDDT missing),
A0A7C0Y889,Found (pLDDT missing),
A0A7C0YBU5,Found (pLDDT missing),
A0A497PKE6,Found (pLDDT missing),
A0A7C0YDX3,Found (pLDDT missing),
A0A7C0YG73,Found (pLDDT missing),
A0A7C0YG85,Found (pLDDT missing),
A0A7C0U9C0,Found (pLDDT missing),
A0A7C0U8Z6,Found (pLDDT missing),
A0A7C0U9H8,Found (pLDDT missing),
A0A497QIG6,Found (pLDDT missing),
A0A497PJK0,Found (pLDDT missing),
A0A497QE36,Found (pLDDT missing),
A0A497QDM0,Found (pLDDT missing),
A0A7C0YB00,Found (pLDDT missing),
A0A497QEE3,Found (pLDDT missing),
A0A7C0U8T9,Found (pLDDT missing),
A0A497PHC4,Found (pLDDT missing),
A0A7C0Y9A2,Found (pLDDT missing),
A0A7C0Y897,Found (pLDDT missing),
A0A497QE47,Found (pLDDT missing),
A0A7C0YBU9,Found (pLDDT missing),
A0A7C0YDY1,Found (pLDDT missing),
A0A7C0YG78,Found (pLDDT missing),
A0A7C0YG97,Found (pLDDT missing),
A0A7C0U9C8,Found (pLDDT missing),
A0A7C0U9I8,Found (pLDDT missing),
A0A497PGX0,Found (pLDDT missing),
A0A7C0YAL3,Found (pLDDT missing),
A0A7C0YBG5,Found (pLDDT missing),
A0A7C0U8V4,Found (pLDDT missing),
A0A7C0U8Y4,Found (pLDDT missing),
